url_path	sku	visibility	websites	weight	attribute_set
square-apatite-beads.html	5713	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
faceted-oval-apatite-beads-10046.html	5714	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
faceted-square-apatite-beads.html	5715	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
coin-apatite-beads.html	5716	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
square-apatite-beads-11118.html	5717	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
square-apatite-beads-11119.html	5718	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
faceted-nuggets-apatite-beads.html	5719	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
sponge-coral-beads.html	5720	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
sponge-coral-beads-10956.html	5721	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
chips-sponge-coral-beads.html	5722	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
chips-sponge-coral-beads-10828.html	5723	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
chips-sponge-coral-beads-10829.html	5724	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
coin-sponge-coral-beads.html	5725	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
chips-sponge-coral-beads-10830.html	5726	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
sponge-coral-beads-10957.html	5727	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
sponge-coral-beads-10958.html	5728	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
tear-drop-sponge-coral-beads.html	5729	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
christian-pearl-beads.html	5730	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads.html	5731	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13033.html	5732	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13034.html	5733	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13035.html	5734	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
coin-pearl-beads.html	5735	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13036.html	5736	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13037.html	5737	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13038.html	5738	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
nuggets-pearl-beads.html	5739	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13039.html	5740	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13040.html	5741	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13041.html	D-5742	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13042.html	5743	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13043.html	5744	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13044.html	5745	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
pearl-beads-13045.html	5746	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
chips-pearl-beads.html	5747	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
chips-magnesite-beads.html	5748	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads.html	5749	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12553.html	5750	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12554.html	5751	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
faceted-magnesite-beads.html	5752	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12555.html	5753	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12556.html	5754	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12557.html	5755	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12558.html	5756	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12559.html	5757	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12560.html	5758	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12561.html	5759	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12562.html	5760	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12563.html	5761	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
chips-nuggets-magnesite-beads.html	5762	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12564.html	5763	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12565.html	5764	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12566.html	5765	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
coin-magnesite-beads.html	5766	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
coin-magnesite-beads-11194.html	5767	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
coin-magnesite-beads-11195.html	5768	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
oval-magnesite-beads.html	5769	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
square-magnesite-beads.html	5770	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
square-magnesite-beads-11266.html	5771	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
magnesite-beads-12567.html	5772	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
tear-drop-abalone-beads.html	5773	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
shell-beads.html	D-5774	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
square-shell-beads.html	5775	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
shell-beads-11243.html	5776	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
tube-shell-beads.html	D-5777	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
oval-abalone-beads.html	5778	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
oval-abalone-beads-10108.html	5779	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
coin-abalone-beads.html	5780	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
coin-abalone-beads-10110.html	5781	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
square-abalone-beads.html	5782	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
square-abalone-beads-10167.html	5783	"Catalog, Search"	semi_test	10.0000	semipreciouscommon
