UNIQUE INTERNAL CODE	PRODUCT NAME	PRODUCT DESCRIPTION	PRODUCT PRICE	PRODUCT URL	IMAGE URL	CATEGORY	SHIPPING COST	GENDER	COLOR	GOOGLE TAX	MANUFACTURER	Google Age Group	MPN(Manufacturer Part Number)
512	Onyx Bracelets  in Sterling Silver	Onyx Bracelets Onyx bracelet, thin light design, stone exposed on both sides. Adaptable size. 92% pure silver. 8-8.5 inches. Stone size 8x8mm   	56	http://www.semiprecious.com/detail.cfm?itemnumber=512	http://www.semiprecious.com/images/Bracelets/512.jpg	Clothing & Accessories > Jewelry > Bracelets	3.99	f	black	US:TX:8.25:y	Semiprecious.com	Adult	512
575	Amethyst Classic Necklaces  in Sterling Silver	Amethyst Necklaces Amethyst and sterling silver necklace, 15.5-17.5 inches.  Elegant design, shines beautifully! Stone size 5x7 mm.   	73	http://www.semiprecious.com/detail.cfm?itemnumber=575	http://www.semiprecious.com/images/Necklaces/575.jpg	Clothing & Accessories > Jewelry > Necklaces	3.99	f	purple	US:TX:8.25:y	Semiprecious.com	Adult	575
899	Rose Quartz Drop Pendants  in Sterling Silver	Rose quartz Pendants An exquisite large drop shape rose quartz cabochon forms the highlight of this eye catching silver pendant. Another small oval cabochon is set atop the drop stone to form a charming image. The patterned frame in sterling silver compliments the pink stone. 2 Inch long. Oval stone size - 5x9m mm, pear stone size - 20x30 mm (approx).   	59	http://www.semiprecious.com/detail.cfm?itemnumber=899	http://www.semiprecious.com/images/Pendants/899.jpg	Clothing & Accessories > Jewelry > Pendants	3.99	f	pink	US:TX:8.25:y	Semiprecious.com	Adult	899
7430	Multi-Stone Medallion Necklaces	Multi-stone Necklaces A classy pendant bead necklace featuring 4 parallel strands of amethyst and other gemstone beads highlighted by a chunky half moon silver pendant. The pendant is 17 inches long with few silver beads.   	109	http://www.semiprecious.com/detail.cfm?itemnumber=7430	http://www.semiprecious.com/images/Necklaces/7430.jpg	Clothing & Accessories > Jewelry > Necklaces	3.99	f	green,purple,white	US:TX:8.25:y	Semiprecious.com	Adult	7430
7573	Aquamarine Multistrand Necklaces	Aquamarine Necklaces Crystalline multistrand necklace featuring faceted aquamarine beads. Closes with a silver lobster clasp and 1.5 inch long extension chain making it adjustable from 16 to 17.5 inches in length.  Bead size is 3 mm.   	56	http://www.semiprecious.com/detail.cfm?itemnumber=7573	http://www.semiprecious.com/images/Necklaces/7573.jpg	Clothing & Accessories > Jewelry > Necklaces	3.99	f	blue	US:TX:8.25:y	Semiprecious.com	Adult	7573
8557	Lapis Lazuli Rings  in Sterling Silver	Lapis Lazuli rings Designer lapis lazuli ring set in silver.   	43	http://www.semiprecious.com/detail.cfm?itemnumber=8557	http://www.semiprecious.com/images/rings/8557.jpg	Clothing & Accessories > Jewelry > rings	3.99	f	blue	US:TX:8.25:y	Semiprecious.com	Adult	8557
8781	Rose Quartz Contemporary Rings  in Sterling Silver	Rose quartz rings A pretty Rose Quartz ring with a smooth Rose Quartz cabochon mounted in the sterling silver band using bezel setting. Stone size 10x14 mm. Total carat weight (TCW) = 7.00 carats approx.   	40	http://www.semiprecious.com/detail.cfm?itemnumber=8781	http://www.semiprecious.com/images/rings/8781.jpg	Clothing & Accessories > Jewelry > rings	3.99	f	pink	US:TX:8.25:y	Semiprecious.com	Adult	8781
9481	Peridot Flower Pendants  in Sterling Silver	Peridot pendants Faceted peridot pendant flower shape set in sterling silver. 1.5 inch long. Stone size 4mm   	38	http://www.semiprecious.com/detail.cfm?itemnumber=9481	http://www.semiprecious.com/images/pendants/9481.jpg	Clothing & Accessories > Jewelry > pendants	3.99	f	green	US:TX:8.25:y	Semiprecious.com	Adult	9481
9668	Smoky Quartz Chunky Necklaces	Smoky Quartz necklaces This fashionable necklace features faceted smokey quartz tumbles. 18 to 20 inch long with silver clasp and 2 inch long extension chain so that you can wear the necklace at your desirable length. Bead size - 12mm to 24mm. smoky quartz is excellent for elevating moods, overcoming negative emotions, and relieving depression. Smoky quartz relieves stre	67	http://www.semiprecious.com/detail.cfm?itemnumber=9668	http://www.semiprecious.com/images/necklaces/9668.jpg	Clothing & Accessories > Jewelry > necklaces	3.99	f	brown	US:TX:8.25:y	Semiprecious.com	Adult	9668
9729	Garnet Simple-Strand Necklaces	Garnet necklaces This necklace features alternating moonstone and deep red garnet stones. Closes with sterling silver s-hook and 2 inches long extension chain-Adjustable from 16 to 19 inches long. -Bead size 6 mm & 4 mm.	39	http://www.semiprecious.com/detail.cfm?itemnumber=9729	http://www.semiprecious.com/images/necklaces/9729.jpg	Clothing & Accessories > Jewelry > necklaces	3.99	f	red,white	US:TX:8.25:y	Semiprecious.com	Adult	9729
