Item-name	Item-Description	category1	min-bid	sku	image-url	Shipping-fee	quantity	first-bidder-discount	take-it-price
"Amethyst and bone necklace with ethnic metal pieces, 17"""	"Amethyst and bone necklace with ethnic metal pieces, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$10.00 	157	http://www.semiprecious.com/images/necklaces/157.jpg	$1.00 	10	y	$15.00 
"Amethyst and metal pieces necklace, 18"""	"Amethyst and metal pieces necklace, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$7.00 	4	http://www.semiprecious.com/images/necklaces/amesilv.jpg	$1.00 	5	y	$10.50 
"Amethyst necklace with golden rings, 16-17"""	"Amethyst necklace with golden rings, 16-17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$10.00 	21	http://www.semiprecious.com/images/necklaces/ameth25.jpg	$1.00 	10	y	$15.00 
"Amethyst necklace with golden rings, 24"""	"Amethyst necklace with golden rings, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$15.00 	141	http://www.semiprecious.com/images/necklaces/141.jpg	$1.00 	10	y	$22.50 
"Amethyst necklace, spherical with golden rings, 17"""	"Amethyst necklace, spherical with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$10.00 	24	http://www.semiprecious.com/images/necklaces/amethrng.jpg	$1.00 	4	y	$15.00 
"Aventurine (Indian jade) and bone necklace, 17"""	"Aventurine (Indian jade) and bone necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$12.00 	85	http://www.semiprecious.com/images/necklaces/bonejad.jpg	$1.00 	4	y	$18.00 
"Aventurine (Indian jade) and bone necklace, 17"""	"Aventurine (Indian jade) and bone necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	60	http://www.semiprecious.com/images/necklaces/chkjad02.jpg	$1.00 	3	y	$22.50 
"Aventurine (Indian jade) necklace spherical stones with golden rings, 17"""	"Aventurine (Indian jade) necklace spherical stones with golden rings, 17""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296362	$12.00 	65	http://www.semiprecious.com/images/necklaces/164.jpg	$1.00 	5	y	$18.00 
"Aventurine (Indian jade) necklace square stones with golden rings, 24"""	"Aventurine (Indian jade) necklace square stones with golden rings, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296362	$13.00 	64	http://www.semiprecious.com/images/necklaces/64.jpg	$1.00 	9	y	$19.50 
"Aventurine (Indian jade) necklace with golden rings and ethnic spheres, 17"""	"Aventurine (Indian jade) necklace with golden rings and ethnic spheres, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296362	$14.00 	45	http://www.semiprecious.com/images/necklaces/jadeeth.jpg	$1.00 	4	y	$21.00 
"Aventurine (Indian jade) necklace, cylindrical stones with golden rings, 17"""	"Aventurine (Indian jade) necklace, cylindrical stones with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296362	$10.00 	36	http://www.semiprecious.com/images/necklaces/jadering.jpg	$1.00 	2	y	$15.00 
"Black tiger eye necklace with golden rings, 24"""	"Black tiger eye necklace with golden rings, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$16.00 	140	http://www.semiprecious.com/images/necklaces/140.jpg	$1.00 	10	y	$24.00 
"Black tiger eye necklace, heart shaped, 24"""	"Black tiger eye necklace, heart shaped, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$17.00 	159	http://www.semiprecious.com/images/necklaces/159old.jpg	$1.00 	5	y	$25.50 
"Black tiger eye necklace, heart shaped, 24"" (matching earrings included) "	"Black tiger eye necklace, heart shaped, 24"" (matching earrings included)   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$19.00 	159.1	http://www.semiprecious.com/images/necklaces/159.jpg	$1.00 	5	y	$28.50 
"Carnelian necklace with ethnic metal pieces, 17"""	"Carnelian necklace with ethnic metal pieces, 17""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$10.00 	174	http://www.semiprecious.com/images/necklaces/174.jpg	$1.00 	10	y	$15.00 
"Garnet necklace, diamond cut, 24"""	"Garnet necklace, diamond cut, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296352	$16.00 	170	http://www.semiprecious.com/images/necklaces/170.jpg	$1.00 	10	y	$24.00 
"Goldstone necklace with golden rings, 17"""	"Goldstone necklace with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$10.00 	23	http://www.semiprecious.com/images/necklaces/sand27old.jpg	$1.00 	13	y	$15.00 
"Goldstone necklace with golden rings, 17"" (matching earrings included)"	"Goldstone necklace with golden rings, 17"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$12.00 	23.1	http://www.semiprecious.com/images/necklaces/sand27.jpg	$1.00 	13	y	$18.00 
"Goldstone necklace, knotted, 24"""	"Goldstone necklace, knotted, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$10.00 	31	http://www.semiprecious.com/images/necklaces/gold37.jpg	$1.00 	7	y	$15.00 
"Moonstone necklace with golden rings, 17"""	"Moonstone necklace with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$12.00 	147	http://www.semiprecious.com/images/necklaces/147.jpg	$1.00 	10	y	$18.00 
"Moonstone necklace, rectangular beads with golden rings, 17"""	"Moonstone necklace, rectangular beads with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$12.00 	18	http://www.semiprecious.com/images/necklaces/moonold.jpg	$1.00 	8	y	$18.00 
"Moonstone necklace, spherical beads, 17"""	"Moonstone necklace, spherical beads, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$13.00 	84	http://www.semiprecious.com/images/necklaces/moonsphr.jpg	$1.00 	7	y	$19.50 
"Moonstone necklace, with golden rings, 17"" (matching earrings included)"	"Moonstone necklace, with golden rings, 17"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$14.00 	18.1	http://www.semiprecious.com/images/necklaces/moonshd.jpg	$1.00 	8	y	$21.00 
"Moss agate necklace, 24"""	"Moss agate necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$23.00 	153	http://www.semiprecious.com/images/necklaces/153.jpg	$1.00 	5	y	$34.50 
"Obsidian and pearl necklace, 3 strand, 17"""	"Obsidian and pearl necklace, 3 strand, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$25.00 	134	http://www.semiprecious.com/images/necklaces/134.jpg	$1.00 	4	y	$37.50 
"Pearl and amethyst necklace, 24"""	"Pearl and amethyst necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$18.00 	124	http://www.semiprecious.com/images/necklaces/124.jpg	$1.00 	3	y	$27.00 
"Pearl and aventurine necklace, 24"""	"Pearl and aventurine necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$18.00 	155	http://www.semiprecious.com/images/necklaces/155.jpg	$1.00 	5	y	$27.00 
"Pearl and garnet necklace, 17"" two strand necklace"	"Pearl and garnet necklace, 17"" two strand necklace.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$20.00 	139	http://www.semiprecious.com/images/necklaces/139.jpg	$1.00 	10	y	$30.00 
