Item-name	Item-Description	category1	price	sku	image-url	Shipping-fee	quantity
"Ethnic necklace with large metal pieces and various stones, 30"""	"Ethnic necklace with large metal pieces and various stones, 30""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$8.00 	33	http://www.semiprecious.com/images/necklaces/mixed.jpg	$2.50 	9
"Garnet necklace, diamond cut, 24"""	"Garnet necklace, diamond cut, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296352	$16.00 	170	http://www.semiprecious.com/images/necklaces/170.jpg	$2.00 	10
"Garnet necklace, knotted, flat oval stones, 16"""	"Garnet necklace, knotted, flat oval stones, 16""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296352	$8.00 	32	http://www.semiprecious.com/images/necklaces/garn39.jpg	$1.50 	9
"Garnet necklace, round stones with ethnic spheres, 17"""	"Garnet necklace, round stones with ethnic spheres, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296352	$14.00 	67	http://www.semiprecious.com/images/necklaces/garethn.jpg	$1.50 	4
"Garnet necklace, round stones, 16"""	"Garnet necklace, round stones, 16""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a> International shipping: $3.50"	296352	$8.00 	48	http://www.semiprecious.com/images/necklaces/garnrd.jpg	$1.50 	12
"Garnet necklace, square beads, 17"""	"Garnet necklace, square beads, 17""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296352	$23.00 	161	http://www.semiprecious.com/images/necklaces/161.jpg	$2.50 	10
"Goldstone necklace spherical stones, 24"""	"Goldstone necklace spherical stones, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$20.00 	27	http://www.semiprecious.com/images/necklaces/goldsphr.jpg	$2.50 	2
"Goldstone necklace with ethnic metal pieces, 17"""	"Goldstone necklace with ethnic metal pieces, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$13.00 	158	http://www.semiprecious.com/images/necklaces/158.jpg	$2.50 	10
"Goldstone necklace with golden rings and ethnic spheres, 17"""	"Goldstone necklace with golden rings and ethnic spheres, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$16.00 	44	http://www.semiprecious.com/images/necklaces/goldethn.jpg	$2.50 	5
"Goldstone necklace with golden rings, 17"""	"Goldstone necklace with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$10.00 	23	http://www.semiprecious.com/images/necklaces/sand27old.jpg	$2.00 	13
"Goldstone necklace with golden rings, 17"" (matching earrings included)"	"Goldstone necklace with golden rings, 17"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$12.00 	23.1	http://www.semiprecious.com/images/necklaces/sand27.jpg	$2.00 	13
"Goldstone necklace, cylinderical, ethnic design. 24"""	"Goldstone necklace, cylinderical, ethnic design. 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$17.00 	136	http://www.semiprecious.com/images/necklaces/136.jpg	$2.50 	10
"Goldstone necklace, knotted, 17"""	"Goldstone necklace, knotted, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$8.00 	26	http://www.semiprecious.com/images/necklaces/goldnot.jpg	$2.50 	8
"Goldstone necklace, knotted, 24"""	"Goldstone necklace, knotted, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$10.00 	31	http://www.semiprecious.com/images/necklaces/gold37.jpg	$2.00 	7
"Hematite necklace (dark grey), 17"" "	"Hematite  necklace (dark grey), 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$6.00 	46	http://www.semiprecious.com/images/necklaces/hematitold.jpg	$2.50 	3
"Hematite necklace (dark grey), 17"" (matching earrings included)"	"Hematite necklace (dark grey), 17"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$8.00 	46.1	http://www.semiprecious.com/images/necklaces/hematit.jpg	$2.50 	3
"Hematite necklace, 6mm beads, 17"""	"Hematite necklace, 6mm beads, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$13.00 	144	http://www.semiprecious.com/images/necklaces/144.jpg	$2.50 	10
"Hematite necklace, 8mm beads, 24"""	"Hematite necklace, 8mm beads, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$20.00 	146	http://www.semiprecious.com/images/necklaces/146.jpg	$2.50 	5
"Iolite (blue/grey) necklace, 24"""	"Iolite (blue/grey) necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296353	$16.00 	143	http://www.semiprecious.com/images/necklaces/143.jpg	$1.50 	10
"Jasper and black agate necklace with ethnic metal pieces, 17"""	"Jasper and black agate necklace with ethnic metal pieces, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$13.00 	149	http://www.semiprecious.com/images/necklaces/149.jpg	$2.50 	11
