Item-name	Item-Description	category1	price	sku	image-url	Shipping-fee	quantity
"Pearl and spherical goldstone necklace, 24"""	"Pearl and spherical goldstone necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$18.00 	112	http://www.semiprecious.com/images/necklaces/prl42snd.jpg	$2.00 	3
"Pearl and spherical simulated turquoise necklace, 17"""	"Pearl and spherical simulated turquoise necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$10.00 	105	http://www.semiprecious.com/images/necklaces/prlturq2old.jpg	$1.50 	6
"Pearl and spherical simulated turquoise necklace, 17"" (earrings included)"	"Pearl and spherical simulated turquoise necklace, 17"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$12.00 	105.1	http://www.semiprecious.com/images/necklaces/prlturq2.jpg	$1.50 	6
"Pearl necklace with ethnic beads, 17"""	"Pearl necklace with ethnic beads, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$18.00 	129	http://www.semiprecious.com/images/necklaces/129.jpg	$2.00 	10
"Pearl necklace with golden rings, 17"""	"Pearl necklace with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$16.00 	34	http://www.semiprecious.com/images/necklaces/pearl41.jpg	$1.50 	15
"Pearl, ,jade, garnet, and goldstone necklace, 17"""	"Pearl, ,jade, garnet, and goldstone necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$12.00 	104	http://www.semiprecious.com/images/necklaces/prljdgld.jpg	$1.50 	2
"Pearl, garnet, and aventurine necklace, 17"""	"Pearl, garnet, and aventurine necklace, 17""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$10.00 	175	http://www.semiprecious.com/images/necklaces/175.jpg	$1.50 	2
"Peridot necklace, round stones, 24"""	"Peridot  necklace, round stones, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$16.00 	37	http://www.semiprecious.com/images/necklaces/periodit.jpg	$2.00 	2
"Red tiger eye necklace with golden rings,  24"""	"Red tiger eye necklace with golden rings,  24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$16.00 	131	http://www.semiprecious.com/images/necklaces/131.jpg	$2.50 	6
"Rose quartz necklace with golden rings, 17"""	"Rose quartz necklace with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$12.00 	148	http://www.semiprecious.com/images/necklaces/148.jpg	$2.00 	10
"Silk thread earrings, blue, purple, white"	"Silk thread earrings, blue, purple, white, large.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.50"	296374	$4.00 	191	http://www.semiprecious.com/images/earrings/191.jpg	$1.00 	3
"Silk thread earrings, blue, white, purple, turquoise"	"Silk thread earrings, blue, white, purple, turquoise, small (pictured), also available in medium and large.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296374	$4.00 	114	http://www.semiprecious.com/images/earrings/114.jpg	$1.00 	5
"Silk thread earrings, brown, gold"	"Silk thread earrings, brown, gold, medium.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.50"	296374	$4.00 	189	http://www.semiprecious.com/images/earrings/189.jpg	$1.00 	2
"Silk thread earrings, gold, blue, white, red"	"Silk thread earrings, gold, blue, white, red, medium, also available in same design with green thread replacing blue thread.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.50"	296374	$4.00 	184	http://www.semiprecious.com/images/earrings/184.jpg	$1.00 	3
"Silk thread earrings, gold, red"	"Silk thread earrings, gold, red, large.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.50"	296374	$4.00 	181	http://www.semiprecious.com/images/earrings/181.jpg	$1.00 	3
"Silk thread earrings, green, yellow"	"Silk thread earrings, green, yellow, small  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296374	$4.00 	118	http://www.semiprecious.com/images/earrings/118.jpg	$1.00 	3
"Silk thread earrings, green, yellow, red"	"Silk thread earrings, green, yellow, red, small, also available with gold colored hooks & thread lining  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296374	$4.00 	116	http://www.semiprecious.com/images/earrings/116.jpg	$1.00 	2
"Silk thread earrings, green, yellow, red, black"	"Silk thread earrings, green, yellow, red, black, medium (pictured), large, small.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.50"	296374	$4.00 	188	http://www.semiprecious.com/images/earrings/188.jpg	$1.00 	10
"Silk thread earrings, multi-colored"	"Silk thread earrings, multi-colored, large (pictured), medium, some color variation between individual sets.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.50"	296374	$4.00 	182	http://www.semiprecious.com/images/earrings/182.jpg	$1.00 	4
"Silk thread earrings, orange, black, green"	"Silk thread earrings, orange, black, green, small.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.50"	296374	$4.00 	180	http://www.semiprecious.com/images/earrings/180.jpg	$1.00 	2
"Silk thread earrings, red & gold"	"Silk thread earrings, red & gold, small also available with gold colored hooks & thread lining, for a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296374	$4.00 	113	http://www.semiprecious.com/images/earrings/113.jpg	$1.00 	3
"Silk thread earrings, red, white, silver"	"Silk thread earrings, red, white, silver, small  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296374	$4.00 	117	http://www.semiprecious.com/images/earrings/117.jpg	$1.00 	2
"Silk thread earrings, turquoise, yellow, black, red"	"Silk thread earrings, turquoise, yellow, black, red, medium, large.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.50"	296374	$4.00 	183	http://www.semiprecious.com/images/earrings/183.jpg	$1.00 	4
"Silk thread earrings, white, black"	"Silk thread earrings, white, black, small   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>International shipping: $2.50"	296374	$4.00 	178	http://www.semiprecious.com/images/earrings/178.jpg	$1.00 	3
"Silk thread earrings, white, grey, yellow"	"Silk thread earrings, white, grey, yellow, small (pictured), medium, large also available  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.50 "	296374	$4.00 	179	http://www.semiprecious.com/images/earrings/179.jpg	$1.00 	3
"Silk thread earrings, white, turquoise, black, red"	"Silk thread earrings, white, turquoise, black, red, small.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.50"	296374	$4.00 	186	http://www.semiprecious.com/images/earrings/186.jpg	$1.00 	2
"Smokey citrine (topaz) necklace, 24"""	"Smokey citrine (topaz) necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$15.00 	58	http://www.semiprecious.com/images/necklaces/smokqtz.jpg	$2.50 	2
"Sodalite and bone necklace, 17"""	"Sodalite and bone necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	119	http://www.semiprecious.com/images/necklaces/sodalbon.jpg	$2.50 	2
"Tiger eye necklace with ethnic metal pieces, 24"""	"Tiger eye necklace with ethnic metal pieces, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$16.00 	156	http://www.semiprecious.com/images/necklaces/156.jpg	$2.50 	10
"Tiger eye necklace with golden rings, 17"""	"Tiger eye necklace with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$10.00 	19	http://www.semiprecious.com/images/necklaces/tig23old.jpg	$2.50 	5
"Tiger eye necklace with golden rings, 17"" (matching earrings included)"	"Tiger eye necklace with golden rings, 17"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$12.00 	19.1	http://www.semiprecious.com/images/necklaces/tig23.jpg	$2.50 	5
"Tiger eye necklace with golden rings, octagonal cut, 24"""	"Tiger eye necklace with golden rings, octagonal cut, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$16.00 	160	http://www.semiprecious.com/images/necklaces/160.jpg	$2.50 	10
"Tiger eye necklace, 3 strand, 17"""	"Tiger eye necklace, 3 strand, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$25.00 	135	http://www.semiprecious.com/images/necklaces/135.jpg	$2.50 	4
"Tiger eye necklace, 4 strands, 17"""	"Tiger eye necklace, 4 strands, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$25.00 	16	http://www.semiprecious.com/images/necklaces/tig4sd19.jpg	$2.00 	2
"Tiger eye necklace, 6mm beads, 24"""	"Tiger eye necklace, 6mm beads, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$14.00 	145	http://www.semiprecious.com/images/necklaces/145.jpg	$2.50 	10
"Tiger eye necklace, carved flower design, 24"""	"Tiger eye necklace, carved flower design, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$18.00 	162	http://www.semiprecious.com/images/necklaces/162.jpg	$2.50 	10
"Tiger eye necklace, flat stones, 16"""	"Tiger eye necklace, flat stones, 16""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$8.00 	30	http://www.semiprecious.com/images/necklaces/tig35.jpg	$2.50 	5
"Tiger eye necklace, square beads, 18"""	"Tiger eye necklace, square beads, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$25.00 	52	http://www.semiprecious.com/images/necklaces/tigersqr.jpg	$2.50 	2
"Unakite necklace with golden rings, 24"""	"Unakite necklace with golden rings, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$16.00 	151	http://www.semiprecious.com/images/necklaces/151.jpg	$2.50 	5
White agate bracelet	"White agate bracelet, 20 cm  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296305	$6.00 	51	http://www.semiprecious.com/images/bracelets/brbnstwh.jpg	$1.50 	10
"Indian Bindi, attractive black design"	"Indian bindis, beautiful accessory worn on forehead, East Indian tradition, 14 per package.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.00 "	172782	$1.00 	0.1	http://www.semiprecious.com/images/crafts/bindi01.jpg	$0.55 	8
"Indian Bindi, attractive multi-colored design"	"Indian bindis, a color for every outfit, beautiful accessory worn on forehead, East Indian tradition, 10 per package.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.00 "	172782	$1.50 	0.2	http://www.semiprecious.com/images/crafts/bindi02.jpg	$0.55 	19
"Indian Bindi, attractive black snake design"	"Indian bindis, beautiful accessory worn on forehead, East Indian tradition, 7 per package.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.00 "	172782	$1.00 	0.3	http://www.semiprecious.com/images/crafts/bindi03.jpg	$0.55 	9
"Indian Bindi, attractive multi-colored design"	"Indian bindis, beautiful accessory worn on forehead, East Indian tradition, 9 in package.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $2.00 "	172782	$1.50 	0.4	http://www.semiprecious.com/images/crafts/bindi04.jpg	$0.55 	5
